source,event_date,event_type,evidence_type,evidence_ref,note
P-B deployment mirror,N/A,no_mirror_exists,directory_listing + column_schema_diff,cloud_cache/UniversePool/ (pool_*.csv, shortlist_*.csv, digest_*.md),"cloud_cache/UniversePool/ is a real, git-tracked, actively-updated mirror (introduced 2026-07-16, commit b5d495812c43a94b23a576102281830b9cfc3be6) but mirrors a DIFFERENT artifact: pool_*.csv uses '_pool_pct'-suffixed percentile columns on the L0-L2-filtered (PE-valid, non-trap) population, not the '_full_pct'-suffixed ADV>=100萬-unfiltered population that c2_fullpool_*.csv uses. Column-level comparison confirms no overlap of the c2_score_full computation. deploy_scores.py (lines 182-196) only syncs Scores and UniversePool(shortlist/pool/digest) to cloud_cache -- c2_fullpool is never included."
Scheduling,2026-07-13,mechanism_introduced,commit_message,5709366e9771b391736af6339b7581faefa3acbd,"'v4.4: 因子實驗室...+每日自動更新排程' -- first mention of the daily automated schedule"
Scheduling,current,mechanism_definition,source_code,scripts/register_daily_task.ps1 + scripts/daily_auto_update.bat,"Windows Task Scheduler task 'FinMind_DailyUpdate', weekdays 18:00, StartWhenAvailable + WakeToRun, ExecutionTimeLimit 2h, MultipleInstances IgnoreNew; runs build_cache.py --build-scores then deploy_scores.py"
Scheduling,2026-07-17,manual_transition_run,commit_message,1102eeda395930f21eb840b36eb7f6a05452702e,"'chore: 手動同步 7/17 scores+universe_pool (排程改18:00,今日過渡手動跑)' -- schedule time changed to 18:00 same day, run executed manually as a one-off transition (explains missing 07-17 daily_update log)"
Scheduling,2026-07-22,scheduled_run_crash_no_trace,filesystem (absence),outputs/logs/ (no daily_update_20260722.log or marker exists),"register_daily_task.ps1 comment: '7/22 與 7/23 兩次排程都以 exit 255 中途死亡且不留痕跡' -- confirmed: market_snapshot_20260722.log exists (separate task ran fine) but no daily_update_20260722 log/marker of any kind exists, consistent with an early, untrapped crash"
Scheduling,2026-07-23,execution_runtime_switched,commit_message + source_code comment,scripts/register_daily_task.ps1 comment block,"Switched from wscript+run_hidden.vbs to powershell+run_hidden.ps1 specifically because of the unexplained exit-255 crashes and VBScript deprecation; root cause of the crashes was not conclusively identified ('根因當時未確定')"
Scheduling,2026-08-03 .. 2026-08-07,deploy_branch_silent_stall,source_code comment,deploy_scores.py lines 33-36,"Code comment: 'Streamlit Community Cloud 綁定的部署分支...快照推到別的分支=雲端看不到,而且腳本仍會回報成功——2026-08-03~08-07 就是這樣靜默停更了 5 天' -- a documented 5-day silent cloud-deployment staleness (branch mismatch), now fixed by a fail-closed branch check added after the fact"
Cleanup/pruning inventory,recurring (every scheduled success),active_pruning_confirmed,source_code,scripts/daily_auto_update.bat lines 123-128,"forfiles /P outputs\logs /M daily_update_*.log /D -30 /C 'del @path' and forfiles /P %LOCALAPPDATA%\FinMind /M daily_update_*.marker.log /D -30 /C 'del @path' -- deletes job logs older than 30 days; narrowly scoped to these two directories and these two filename patterns only"
Cleanup/pruning inventory,recurring (every scheduled success),wipe_and_recopy_confirmed,source_code,deploy_scores.py lines 176-178 and 189-191,"shutil.rmtree + shutil.copytree on cloud_cache/Scores/ and cloud_cache/UniversePool/ every successful run -- full mirror refresh of two specific, named, git-tracked directories, not a generic sweep"
Cleanup/pruning inventory,N/A,broad_repo_search_no_other_mechanism_found,grep (repo-wide),"grep -rniE 'forfiles|shutil.rmtree|os.remove|os.unlink|retention|purge' across *.py/*.bat/*.ps1","No cleanup/retention/purge logic found outside the two mechanisms above and a small number of unrelated backup-directory cleanups in one-off migration scripts (scripts/extract_legacy_supplement.py, scoped to its own STAGING_DIR/backup_dir, unrelated to Scores/c2_fullpool/evidence roots)"
Cleanup/pruning inventory,N/A,onedrive_avoidance_convention,source_code comments,core/data_cache.py:29 + build_cache.py:16,"Project convention: finmind_cache (P-A live source) is deliberately placed OUTSIDE OneDrive sync ('刻意放 OneDrive 外避免反覆同步') specifically to avoid file-locking/sync interference documented as a suspect in the 07-22/07-23 crash investigation; data/research_base/ is deliberately kept INSIDE the OneDrive-synced project folder for redundancy -- the two choices are deliberate and purpose-specific, not accidental"
